alpha_bg,chi2_BAO,Delta_chi2_BAO,chi2_Pantheon,Delta_chi2_Pantheon,offset_Pantheon,chi2_joint,Delta_chi2_joint
0.0,32.9966803371663,0.0,1458.1608712309626,0.0,-0.18904427686483458,1491.1575515681288,0.0
0.0025,33.47103354138231,0.47435320421600835,1458.1606889160646,-0.00018231489798381517,-0.18936466644968417,1491.6317224574468,0.4741708893179748
0.005,33.95123381953124,0.9545534823649362,1458.1605065651124,-0.000364665850156598,-0.18968510331364433,1492.1117403846438,0.954188816514943
0.0075,34.437286241131176,1.4406059039648724,1458.1603241781004,-0.0005470528622026904,-0.1900055874706705,1492.5976104192316,1.4400588511027763
0.01,34.92919588013013,1.9325155429638272,1458.1601417550166,-0.0007294759459455236,-0.1903261189347254,1493.0893376351469,1.931786067018038
0.0125,35.42696781491189,2.430287477745587,1458.1599592958564,-0.0009119351061599446,-0.19064669771977688,1493.5869271107683,2.429375542639491
0.015,35.93060712830054,2.9339267911342333,1458.1597768006163,-0.0010944303462565586,-0.19096732383979917,1494.090383928917,2.9328323607880975
0.0175,36.440118907564745,3.443438570398442,1458.1595942692782,-0.0012769616844252596,-0.1912879973087732,1494.599713176843,3.442161608714059
0.02,36.95550824442165,3.9588279072553476,1458.1594117018396,-0.0014595291229397844,-0.19160871814068592,1495.1149199462614,3.9573683781325144
0.0225,37.47678023504022,4.48009989787392,1458.1592290982942,-0.0016421326683939697,-0.19192948634953008,1495.6360093333344,4.478457765205576
0.025,38.003939980047846,5.007259642881543,1458.1590464586286,-0.0018247723339754884,-0.19225030194930487,1496.1629864386764,5.00543487054756
0.0275,38.53699258453386,5.5403122473675595,1458.1588637828393,-0.0020074481233223196,-0.19257116495401588,1496.6958563673732,5.538304799244315
0.03,39.075943158052745,6.079262820886441,1458.1586810709168,-0.002190160045756784,-0.19289207537767475,1497.2346242289696,6.077072660840713
0.0325,39.62079681462941,6.6241164774631045,1458.1584983228477,-0.0023729081149213016,-0.19321303323429903,1497.779295137477,6.621743569348155
0.035,40.17155867276391,7.1748783355976045,1458.1583155386336,-0.0025556923289968836,-0.19353403853791287,1498.3298742113975,7.1723226432686715
0.0375,40.72823385543467,7.731553518268363,1458.158132718261,-0.0027385127016259503,-0.19385509130254688,1498.8863665736956,7.72881500556673
0.04,41.29082749010335,8.294147152937043,1458.1579498617202,-0.002921369242358196,-0.194176191542237,1499.4487773518235,8.2912257836947
0.0425,41.85934470872124,8.862664371554935,1458.1577669690046,-0.003104261958014831,-0.19449733927102653,1500.0171116777258,8.859560109596941
0.045,42.433790647729886,9.437110310563583,1458.1575840401056,-0.0032871908570086816,-0.1948185345029641,1500.5913746878355,9.43382311970663
0.0475,43.014170448066714,10.017490110900411,1458.1574010750157,-0.0034701559468430787,-0.1951397772521051,1501.1715715230825,10.01401995495371
0.05,43.60048925517296,10.603808918006656,1458.157218073727,-0.003653157235476101,-0.1954610675325106,1501.7577073289,10.600155760771258
0.0525,44.192752218992354,11.19607188182605,1458.1570350362324,-0.0038361947301837063,-0.19578240535824865,1502.3497872552248,11.192235687095945
0.055,44.790964493980034,11.794284156813731,1458.156851962519,-0.0040192684434714465,-0.1961037907433933,1502.9478164564991,11.790264888370302
0.0575,45.39513123910438,12.398450901938077,1458.156668852585,-0.0042023783776130585,-0.19642522370202428,1503.5518000916893,12.394248523560464
0.06,46.00525761785266,13.00857728068636,1458.1564857064172,-0.004385524545341468,-0.1967467042482282,1504.16174332427,13.004191756141154
0.0625,46.62134879823433,13.624668461068026,1458.1563025240116,-0.004568706950976775,-0.1970682323960978,1504.777651322246,13.620099754117064
0.065,47.24340995278744,14.246729615621135,1458.1561193053583,-0.004751925604296048,-0.1973898081597319,1505.3995292581458,14.241977690016938
0.0675,47.871446258580185,14.874765921413882,1458.1559360504446,-0.004935180518032212,-0.19771143155323587,1506.0273823090247,14.86983074089585
0.07,48.505462897219566,15.508782560053263,1458.1557527592706,-0.005118471691957893,-0.1980331025907212,1506.6612156564902,15.503664088361347
0.0725,49.145465054849815,16.14878471768351,1458.1555694318185,-0.005301799144035613,-0.19835482128630538,1507.3010344866684,16.143482918539576
0.075,49.79145792216254,16.79477758499624,1458.1553860680856,-0.005485162876993854,-0.19867658765411264,1507.9468439902482,16.789292422119388
0.0775,50.44344669439751,17.446766357231205,1458.1552026680724,-0.005668562890150497,-0.19899840170827338,1508.59864936247,17.441097794341204
0.08,51.101436571349524,18.10475623418322,1458.155019231755,-0.00585199920760715,-0.19932026346292386,1509.2564558031045,18.098904234975635
0.0825,51.765432757371,18.7687524202047,1458.1548357591366,-0.006035471825953209,-0.1996421729322076,1509.9202685165076,18.76271694837874
0.085,52.43544046137761,19.438760124211306,1458.1546522501997,-0.00621898076292382,-0.19996413013027284,1510.5900927115772,19.43254114344836
0.08750000000000001,53.11146489685153,20.114784559685226,1458.154468704946,-0.0064025260164726205,-0.20028613507127582,1511.2659336017975,20.108382033668704
0.09,53.79351128184772,20.796830944681417,1458.1542851233576,-0.006586107605016878,-0.20060818776937794,1511.9477964052053,20.790244837076443
0.0925,54.481584838996724,21.48490450183042,1458.1541015054352,-0.006769725527419723,-0.20093028823874726,1512.6356863444319,21.478134776303023
0.095,55.1756907955102,22.179010458343896,1458.1539178511678,-0.006953379794822467,-0.20125243649355842,1513.329608646678,22.172057078549187
0.0975,55.875834383183566,22.879154046017263,1458.1537341605422,-0.007137070420412783,-0.2015746325479921,1514.0295685437256,22.872016975596807
0.1,56.58202083840349,23.585340501237184,1458.153550433553,-0.007320797409647639,-0.20189687641623472,1514.7355712719564,23.578019703827522
0.10250000000000001,57.29425540215077,24.297575064984464,1458.1533666701946,-0.007504560767984003,-0.20221916811248022,1515.4476220723454,24.2900705042166
0.105,58.01254332000297,25.015862982836666,1458.153182870461,-0.007688360501560965,-0.20254150765092788,1516.165726190464,25.00817462233522
0.1075,58.73688984214315,25.740209504976846,1458.1529990343374,-0.007872196625157812,-0.20286389504578387,1516.8898888764807,25.732337308351816
0.11,59.467300223359814,26.47061988619351,1458.1528151618165,-0.008056069146050504,-0.20318633031126035,1517.6201153851764,26.462563817047567
0.1125,60.203779723055504,27.2070993858892,1458.1526312528968,-0.008239978065830655,-0.20350881346157582,1518.3564109759523,27.19885940782342
0.115,60.946333605248746,27.949653268082443,1458.1524473075633,-0.008423923399277555,-0.20383134451095558,1519.0987809128121,27.94122934468328
0.11750000000000001,61.6949671385773,28.698286801410994,1458.1522633258103,-0.00860790515230292,-0.20415392347363054,1519.8472304643876,28.689678896258783
0.12,62.44968559630794,29.453005259141634,1458.1520793076295,-0.0087919233330922,-0.20447655036383863,1520.6017649039375,29.444213335808627
0.1225,63.21049425633555,30.213813919169247,1458.151895253012,-0.00897597795051297,-0.2047992251958235,1521.3623895093476,30.204837941218784
0.125,63.97739840119009,30.980718064023783,1458.1517111619514,-0.009160069011159067,-0.20512194798383587,1522.1291095631416,30.971557995012745
0.1275,64.75040331804014,31.75372298087384,1458.1515270344369,-0.009344196525717052,-0.2054447187421322,1522.901930352477,31.7443787843481
0.13,65.52951429869987,32.53283396153356,1458.1513428704636,-0.009528360498961774,-0.20576753748497562,1523.6808571691636,32.523305601034735
0.1325,66.31473663963028,33.31805630246398,1458.1511586700212,-0.009712560941352422,-0.20609040422663552,1524.4658953096516,33.308343741522776
0.135,67.10607564194572,34.10939530477942,1458.1509744331024,-0.009896797860164952,-0.20641331898138762,1525.257050075048,34.09949850691919
0.1375,67.90353661141774,34.90685627425143,1458.150790159696,-0.010081071266540675,-0.2067362817635141,1526.0543267711137,34.89677520298483
0.14,68.70712485848134,35.71044452131503,1458.1506058497994,-0.010265381163208076,-0.2070592925873033,1526.8577307082808,35.70017914015193
0.14250000000000002,69.5168456982354,36.5201653610691,1458.150421503398,-0.010449727564491695,-0.2073823514670504,1527.6672672016334,36.509715633504584
0.145,70.33270445045237,37.336024113286065,1458.1502371204924,-0.01063411047016416,-0.20770545841705662,1528.4829415709448,37.32539000281599
0.1475,71.15470643957948,38.15802610241318,1458.150052701066,-0.010818529896596374,-0.20802861345162957,1529.3047591406455,38.14720757251666
0.15,71.98285699474415,38.98617665757785,1458.1498682451113,-0.011002985851291669,-0.20835181658508334,1530.1327252398555,38.97517367172668
0.1525,72.81716144975968,39.82048111259338,1458.149683752628,-0.011187478334477419,-0.20867506783173814,1530.9668452023877,39.80929363425889
0.155,73.65762514312719,40.66094480596089,1458.149499223597,-0.011372007365480385,-0.20899836720592124,1531.8071243667243,40.6495727985955
0.1575,74.50425341804389,41.507573080877584,1458.14931465802,-0.01155657294248158,-0.2093217147219656,1532.653568076064,41.49601650793511
0.16,75.3570516224042,42.360371285237896,1458.1491300558816,-0.011741175080942412,-0.2096451103942108,1533.5061816782859,42.348630110157046
0.1625,76.21602510880606,43.21934477163976,1458.1489454171776,-0.011925813784955608,-0.20996855423700292,1534.3649705259836,43.20741895785477
0.165,77.0811792345563,44.08449889739,1458.148760741897,-0.012110489065662478,-0.21029204626469453,1535.2299399764531,44.07238840832429
0.1675,77.95251936167315,44.95583902450685,1458.1485760300357,-0.012295200926928374,-0.21061558649164464,1536.101095391709,44.94354382358006
0.17,78.83005085689216,45.833370519725854,1458.148391281581,-0.012479949381486222,-0.21093917493221823,1536.9784421384732,45.82089057034432
0.17250000000000001,79.71377909167111,46.71709875450481,1458.148206496528,-0.012664734434565617,-0.21126281160078708,1537.861985588199,46.704434020070266
0.17500000000000002,80.60370944219515,47.60702910502885,1458.1480216748685,-0.012849556094124637,-0.21158649651172953,1538.7517311170636,47.59417954893479
0.1775,81.49984728937807,48.503166952211764,1458.1478368165926,-0.01303441436994035,-0.2119102296794302,1539.6476841059707,48.49013253784187
0.18,82.40219801887176,49.405517681705454,1458.1476519216897,-0.013219309272926694,-0.2122340111182798,1540.5498499405614,49.392298372432606
0.1825,83.3107670210661,50.314086683899795,1458.1474669901615,-0.013404240801037304,-0.2125578408426758,1541.4582340112277,50.30068244309882
0.185,84.22555969109906,51.22887935393276,1458.1472820219851,-0.013589208977464295,-0.2128817188670225,1542.3728417130842,51.21529014495536
0.1875,85.14658142885487,52.14990109168857,1458.1470970171677,-0.013774213794931711,-0.21320564520572988,1543.2936784460226,52.13612687789373
0.19,86.07383763897508,53.077157301808775,1458.146911975689,-0.013959255273675808,-0.21352961987321478,1544.2207496146639,53.063198046535035
0.1925,87.00733373085818,54.010653393691875,1458.1467268975491,-0.014144333413469212,-0.21385364288390052,1545.1540606284073,53.99650906027841
0.195,87.9470751186678,54.950394781501494,1458.146541782731,-0.014329448231592323,-0.21417771425221674,1546.0936169013987,54.93606533326988
0.1975,88.89306722133358,55.89638688416728,1458.1463566312368,-0.014514599725771404,-0.21450183399259964,1547.0394238525705,55.88187228444167
0.2,89.84531546256127,56.84863512539497,1458.1461714430511,-0.014699787911467865,-0.21482600211949182,1547.9914869056124,56.83393533748358
